Category,Difficulty,Level,Constraint,'True,'False,Total,Success Percentage
Commonsense Constraint,easy,3,Reasonable City Route,16,4,20,0.8
Commonsense Constraint,easy,3,Diverse Restaurants,20,0,20,1.0
Commonsense Constraint,easy,3,Diverse Attractions,20,0,20,1.0
Commonsense Constraint,easy,3,Minimum Nights Stay,12,8,20,0.6
Commonsense Constraint,easy,3,Non-conf. Transportation,19,1,20,0.95
Commonsense Constraint,easy,3,Within Current City,20,0,20,1.0
Commonsense Constraint,easy,3,Within Sandbox,16,4,20,0.8
Commonsense Constraint,easy,3,Complete Information,19,1,20,0.95
Commonsense Constraint,easy,5,Reasonable City Route,16,4,20,0.8
Commonsense Constraint,easy,5,Diverse Restaurants,20,0,20,1.0
Commonsense Constraint,easy,5,Diverse Attractions,20,0,20,1.0
Commonsense Constraint,easy,5,Minimum Nights Stay,4,16,20,0.2
Commonsense Constraint,easy,5,Non-conf. Transportation,9,11,20,0.45
Commonsense Constraint,easy,5,Within Current City,18,2,20,0.9
Commonsense Constraint,easy,5,Within Sandbox,15,5,20,0.75
Commonsense Constraint,easy,5,Complete Information,20,0,20,1.0
Commonsense Constraint,easy,7,Reasonable City Route,14,6,20,0.7
Commonsense Constraint,easy,7,Diverse Restaurants,20,0,20,1.0
Commonsense Constraint,easy,7,Diverse Attractions,20,0,20,1.0
Commonsense Constraint,easy,7,Minimum Nights Stay,2,18,20,0.1
Commonsense Constraint,easy,7,Non-conf. Transportation,7,13,20,0.35
Commonsense Constraint,easy,7,Within Current City,15,5,20,0.75
Commonsense Constraint,easy,7,Within Sandbox,16,4,20,0.8
Commonsense Constraint,easy,7,Complete Information,19,1,20,0.95
Commonsense Constraint,medium,3,Reasonable City Route,16,4,20,0.8
Commonsense Constraint,medium,3,Diverse Restaurants,20,0,20,1.0
Commonsense Constraint,medium,3,Diverse Attractions,20,0,20,1.0
Commonsense Constraint,medium,3,Minimum Nights Stay,13,7,20,0.65
Commonsense Constraint,medium,3,Non-conf. Transportation,20,0,20,1.0
Commonsense Constraint,medium,3,Within Current City,19,1,20,0.95
Commonsense Constraint,medium,3,Within Sandbox,14,6,20,0.7
Commonsense Constraint,medium,3,Complete Information,20,0,20,1.0
Commonsense Constraint,medium,5,Reasonable City Route,19,1,20,0.95
Commonsense Constraint,medium,5,Diverse Restaurants,20,0,20,1.0
Commonsense Constraint,medium,5,Diverse Attractions,20,0,20,1.0
Commonsense Constraint,medium,5,Minimum Nights Stay,3,17,20,0.15
Commonsense Constraint,medium,5,Non-conf. Transportation,12,8,20,0.6
Commonsense Constraint,medium,5,Within Current City,20,0,20,1.0
Commonsense Constraint,medium,5,Within Sandbox,18,2,20,0.9
Commonsense Constraint,medium,5,Complete Information,20,0,20,1.0
Commonsense Constraint,medium,7,Reasonable City Route,18,2,20,0.9
Commonsense Constraint,medium,7,Diverse Restaurants,20,0,20,1.0
Commonsense Constraint,medium,7,Diverse Attractions,20,0,20,1.0
Commonsense Constraint,medium,7,Minimum Nights Stay,1,19,20,0.05
Commonsense Constraint,medium,7,Non-conf. Transportation,8,12,20,0.4
Commonsense Constraint,medium,7,Within Current City,18,2,20,0.9
